No,Sektor,Isim,Rol,Sirket,Ulke,Yanit Olasiligi,LinkedIn,Sirket Web,Kaynak
1,Banking,Abdullah bin Sulaiman Al Rajhi,Chairman,Al Rajhi Bank,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Abdullah%20Al%20Rajhi%20Al%20Rajhi%20Bank,https://www.alrajhibank.com.sa,https://www.alrajhibank.com.sa/en/About-alrajhi-bank/Board-Members
2,Banking,Waleed Abdullah Al-Mogbel,Managing Director and CEO,Al Rajhi Bank,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Waleed%20Al-Mogbel%20Al%20Rajhi%20Bank,https://www.alrajhibank.com.sa,https://www.alrajhibank.com.sa/en/About-alrajhi-bank/Executive-Management
3,Banking,Abdulrahman Abdullah Al-Fadda,CFO,Al Rajhi Bank,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulrahman%20Al-Fadda%20Al%20Rajhi%20Bank,https://www.alrajhibank.com.sa,https://www.alrajhibank.com.sa/en/About-alrajhi-bank/Executive-Management
4,Banking,Saeed Mohammed Al-Ghamdi,Chairman,Saudi National Bank (SNB),Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Saeed%20Al-Ghamdi%20Saudi%20National%20Bank,https://www.alahli.com,https://en.wikipedia.org/wiki/Saudi_National_Bank
5,Banking,Tareq Abdulrahman Al Sadhan,CEO,Saudi National Bank (SNB),Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Tareq%20Al%20Sadhan%20Saudi%20National%20Bank,https://www.alahli.com,https://www.alahli.com/en/news/resignation-of-the-acting-ceo-and-appointment-of-the-ceo
6,Banking,Ahmad Ali Al Dhabi,Group CFO,Saudi National Bank (SNB),Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ahmad%20Al%20Dhabi%20Saudi%20National%20Bank,https://www.alahli.com,https://en.wikipedia.org/wiki/Saudi_National_Bank
7,Banking,Abdullah Mohammed Al-Issa,Chairman,Riyad Bank,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Abdullah%20Al-Issa%20Riyad%20Bank,https://www.riyadbank.com,https://www.riyadbank.com/personal-banking/about-us/board-of-directors
8,Banking,Nadir Sami Al-Koraya,CEO,Riyad Bank,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Nadir%20Al-Koraya%20Riyad%20Bank,https://www.riyadbank.com,https://www.riyadbank.com/personal-banking/about-us/executive-management
9,Banking,Abdullah Ali Al-Oraini,CFO,Riyad Bank,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdullah%20Al-Oraini%20Riyad%20Bank,https://www.riyadbank.com,https://www.riyadbank.com/personal-banking/about-us/executive-management
10,Banking,Abdulmalek bin Abdullah Al-Hogail,Chairman,Alinma Bank,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Abdulmalek%20Al-Hogail%20Alinma%20Bank,https://www.alinma.com,https://ir.alinma.com/en/investor-relations/about-us/corporate-governance/board-of-directors/
11,Banking,Abdullah Ali Al Khalifa,Managing Director and CEO,Alinma Bank,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdullah%20Al%20Khalifa%20Alinma%20Bank,https://www.alinma.com,https://www.alinma.com/en/About-the-Bank/The-Bank/News/2025/6/Board-of-Directors-and-CEO
12,Banking,Adel Saleh Abalkhail,CFO,Alinma Bank,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Adel%20Abalkhail%20Alinma%20Bank,https://www.alinma.com,https://ir.alinma.com/en/investor-relations/about-us/corporate-governance/executive-management/
13,Banking,Lubna Suliman Al Olayan,Chair of the Board,Saudi Awwal Bank (SABB),Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Lubna%20Al%20Olayan%20Saudi%20Awwal%20Bank,https://www.sab.com,https://www.sab.com/en/about-us/about-us/board-of-directors/
